,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
ob087,ob114,imp,ob114-1,post,2,3:51,2,5:51,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob087,ob114,gz,ob114-2,post,3,3:57,3,5:57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob088,ob114,pz,ob114-2,post,3,3:57,3,5:57,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob088,ob114,imp,ob114-2,post,3,3:57,3,5:57,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob089,ob115,pz,ob115-2,post,3,7:42,3,9:42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ob089,ob025,pz,ob025-1,pre,1,13:39,1,15:39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob089,ob029,imp,ob029-1,pre,1,12:03,1,14:03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ob090,ob031,imp,ob031-1,pre,1,16:24,1,18:24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob090,ob033,pz,ob033-1,pre,1,10:54,1,12:54,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
ob093,ob039,imp,ob039-1,pre,1,9:26,1,11:26,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ob093,ob039,imp,ob039-2,pre,2,11:50,2,13:50,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob093,ob041,buf,ob041-1,pre,1,13:54,1,15:54,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ob094,ob041,buf,ob041-2,pre,2,13:51,2,15:51,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob094,ob042,imp,ob042-1,pre,1,16:08,1,18:08,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ob094,ob047,pz,ob047-1,pre,1,14:24,1,16:24,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob094,ob049,pz,ob049-1,pre,1,13:55,1,15:55,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob095,ob050,imp,ob050-1,pre,1,13:56,1,15:56,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ob095,ob050,imp,ob050-2,pre,2,13:22,2,15:22,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob096,ob051,imp,ob051-1,pre,1,11:57,1,13:57,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
ob101,ob053,gz,ob053-1,pre,1,17:15,1,19:15,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob101,ob055,imp,ob055-1,pre,1,17:31,1,19:31,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob101,ob056,imp,ob056-1,pre,1,15:05,1,17:05,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
