flight,obs_ascent,launch_dist,clip1_start,clip1_end,ascent_start,ascent_end,approach_start,approach_end,proximity_start,proximity_end,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time
070-01,85.30000272960001,807.2307612343167,398700.0,518700.0,17000.0,53400.0,53400.0,398700.0,391600.0,518700.0,9.886890348470898,48.023960241464,5.755,,04:58:39,05:18:07
070-02,86.4000027648,808.326504493191,248900.0,368900.0,6700.0,62900.0,62900.0,248900.0,176300.0,368900.0,17.768201506107438,47.951960301072,3.1,55900.0,05:11:50,05:29:23
070-03,85.30000272960001,808.0901050064239,205100.0,325100.0,4300.0,27600.0,27600.0,205100.0,90100.0,325100.0,17.174872474884822,47.771960450092,2.9583333333333335,57600.0,05:24:30,05:40:59
071-01,65.500002096,171.80653131308253,64100.0,184100.0,4500.0,31200.0,31200.0,64100.0,54100.0,184100.0,18.49462245939272,26.423978123864003,0.5483333333333333,,06:01:20,
071-02,60.4000019328,103.3014330863582,146950.0,266950.0,3900.0,25400.0,25400.0,146950.0,48900.0,266950.0,3.9525429832374797,19.403983935644,2.0258333333333334,,06:19:03,06:39:31
071-03,60.600001939200006,89.20788173536191,141400.0,261400.0,6500.0,51000.0,51000.0,141400.0,58100.0,261400.0,4.025612828853271,33.119972580319995,1.5066666666666666,55100.0,06:36:39,06:56:07
072-01,65.10000208320001,334.92508401811114,146200.0,266200.0,3800.0,26800.0,26800.0,146200.0,104400.0,266200.0,11.378649323368132,24.2999798823,1.99,,07:22:07,07:45:42
072-02,65.2000020864,448.7215707521372,136800.0,256800.0,3900.0,33700.0,33700.0,136800.0,77100.0,256800.0,15.25364581194207,45.863962029704,1.7183333333333333,46100.0,07:41:53,07:58:28
073-01,64.8000020736,182.06156732842442,101000.0,221000.0,13900.0,64300.0,64300.0,101000.0,86300.0,221000.0,18.854139086987416,31.931973563852,0.6116666666666667,,04:41:19,05:03:15
073-02,65.90000210880001,191.03170704110318,180300.0,300300.0,6600.0,33500.0,33500.0,180300.0,62600.0,300300.0,6.713522717806605,23.507980537988,2.4466666666666668,103300.0,04:59:21,05:19:46
074-01,81.7000026144,451.57830761796043,119050.0,239050.0,4400.0,40400.0,40400.0,119050.0,76900.0,239050.0,22.50812970334999,43.91996363912,1.3108333333333333,,05:28:20,05:48:59
074-02,80.7000025824,468.69469103481384,188600.0,308600.0,6500.0,53200.0,53200.0,188600.0,103800.0,308600.0,13.022608111226655,45.575962268136,2.256666666666667,65300.0,05:44:24,06:05:04
074-03,80.9000025888,468.6943625059967,146450.0,266450.0,3500.0,28900.0,28900.0,146450.0,72800.0,266450.0,16.43018978744768,46.25996170186,1.9591666666666667,60050.0,06:01:05,06:21:50
075-01,70.40000225280001,272.2994989352164,192266.66666666666,312266.6666666666,8200.0,54700.0,54700.0,192266.66666666666,130300.0,312266.6666666666,8.591825363037856,20.483983041524,2.292777777777778,,06:49:35,07:09:37
075-02,70.8000022656,248.89766004391205,127700.0,247700.0,5000.0,34000.0,34000.0,127700.0,51800.0,247700.0,11.997595635761131,48.05996021166,1.5616666666666668,65700.0,07:06:19,07:20:31
076-01,80.6000025792,501.0504497013173,194150.0,314150.0,7400.0,63300.0,63300.0,194150.0,161500.0,314150.0,17.75544125099626,41.363965755204,2.180833333333333,,08:02:13,08:10:05
077-01,85.00000272,261.8135763864396,70050.0,190050.0,3900.0,42500.0,42500.0,70050.0,64900.0,190050.0,33.92451124009353,44.81996289402,0.45916666666666667,,08:26:44,08:43:36
078-01,40.400001292800006,680.2281772783541,175400.0,295400.0,8600.0,49700.0,49700.0,175400.0,159000.0,295400.0,19.66439142471025,45.251962536372,2.095,,12:31:09,12:51:53
078-02,50.7000016224,782.3915382855387,193100.0,313100.0,3700.0,25900.0,25900.0,193100.0,88900.0,313100.0,18.38167231999905,48.743959645384,2.7866666666666666,,12:46:34,13:05:18
078-03,50.3000016096,864.272943160532,330000.0,450000.0,7300.0,40600.0,40600.0,330000.0,200400.0,450000.0,15.079826901043386,48.23996006264,4.823333333333333,118900.0,12:57:39,13:11:33
079-01,40.8000013056,308.96188397024633,94250.0,214250.0,3800.0,30700.0,30700.0,94250.0,81400.0,214250.0,17.330465779474075,23.3999806274,1.0591666666666666,,13:07:46,13:25:53
