flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
067-01,initial,,69000.0,,,,,camera malfunction - clip cuts out before 2 minutes,6700.0,77800.0,854100.0,964900.0,ascent_m_0,-8800.0,0.0,0.0,gimbal
068-01,initial,,161000.0,1084000.0,1191000.0,,,,6400.0,171500.0,1091000.0,1199800.0,ascent_m_0,-8800.0,1800.0,1166.6666666666667,home
068-02,replacement,11000.0,39000.0,1139000.0,1246000.0,,,,6400.0,33900.0,1132800.0,1239800.0,rc_throttle_1024,5833.333333333333,1233.3333333333321,675.0000000000391,launch
068-03,replacement,3000.0,111000.0,1077000.0,1230000.0,,,,6500.0,115300.0,1079500.0,1233600.0,ascent_m_0,-3550.0,1050.0,475.0,home
069-01,initial,,105000.0,572000.0,701000.0,,,,4900.0,123000.0,589700.0,720100.0,ascent_m_0,-18000.0,1100.0,466.6666666666667,land
070-01,initial,20000.0,95000.0,1027000.0,1188000.0,,,,17000.0,92400.0,1023300.0,1184400.0,ascent_m_0,3300.0,700.0,425.0,gimbal
070-02,replacement,,128000.0,841000.0,1002000.0,,,,6700.0,187400.0,898600.0,1059900.0,ascent_m_0,-57900.0,1500.0,600.0,gimbal
070-03,replacement,10000.0,211000.0,811000.0,998000.0,,,,4300.0,204900.0,804300.0,992800.0,ascent_m_0,5900.0,800.0,475.0,home
071-01,initial,8000.0,28000.0,1170000.0,1249000.0,,,,4500.0,23700.0,,,,3900.0,400.0,400.0,launch
071-02,replacement,7000.0,63000.0,1159000.0,1234000.0,,,,3900.0,60000.0,1155200.0,1231700.0,ascent_m_0,3050.0,750.0,400.0,home
071-03,replacement,,58000.0,1054000.0,1158000.0,,,,6500.0,73400.0,1069100.0,1174000.0,ascent_m_0,-15400.0,600.0,300.0,land
072-01,initial,,85000.0,1283000.0,1406000.0,,,,3800.0,99400.0,1296200.0,1418200.0,ascent_m_0,-13200.0,1200.0,733.3333333333334,gimbal
072-02,replacement,,84000.0,866000.0,990000.0,,,,3900.0,91800.0,873500.0,998700.0,ascent_m_0,-7800.0,900.0,400.0,land
073-01,initial,,63000.0,1211000.0,1295000.0,,,,13900.0,96000.0,1243400.0,1329000.0,ascent_m_0,-33000.0,1000.0,533.3333333333334,land
073-02,replacement,,,1052000.0,1145000.0,,,video started when drone was already over group - check how long drone was in place before video started,6600.0,80900.0,1136200.0,1231400.0,ascent_m_0,-85300.0,1100.0,1100.0,home
074-01,initial,,,1001000.0,1123000.0,,,video started when drone was already over group - check how long drone was in place before video started,4400.0,80400.0,1119300.0,1242800.0,rc_throttle_1024,-119050.0,750.0,750.0,home
074-02,replacement,3000.0,103000.0,1122000.0,1243000.0,,,,6500.0,106700.0,1124600.0,1246900.0,rc_throttle_1024,-3600.0,1000.0,375.0,home
074-03,replacement,13000.0,91000.0,1124000.0,1258000.0,,,,3500.0,82100.0,1113600.0,1248400.0,ascent_m_0,9550.0,850.0,400.0,home
075-01,initial,4000.0,129000.0,1110000.0,1208000.0,,,,8200.0,133600.0,1112800.0,1210800.0,ascent_m_0,-3266.6666666666665,1333.3333333333285,800.0000000000377,gimbal
075-02,replacement,24000.0,93000.0,780000.0,876000.0,,,,5000.0,73700.0,759500.0,856700.0,ascent_m_0,19300.0,1200.0,375.0,home
076-01,initial,3000.0,161000.0,321000.0,475000.0,,,,7400.0,164900.0,324800.0,479800.0,rc_throttle_1024,-4150.0,650.0,375.0,land
077-01,initial,26000.0,87000.0,900000.0,1037000.0,,,,3900.0,65200.0,877700.0,1016600.0,ascent_m_0,21950.0,1550.0,550.0,land
078-01,initial,,138000.0,1091000.0,1227000.0,,,,8600.0,164200.0,1115200.0,1252400.0,rc_throttle_1024,-25400.0,1200.0,666.6666666666666,home
078-02,replacement,,70000.0,955000.0,1114000.0,,,,3700.0,85500.0,970100.0,1128700.0,rc_throttle_364,-15100.0,400.0,266.6666666666667,gimbal
078-03,replacement,,141000.0,622000.0,831000.0,,,,7300.0,151500.0,628500.0,841000.0,ascent_m_0,-10000.0,3500.0,1333.3333333333333,home
079-01,initial,6000.0,86000.0,961000.0,1093000.0,,,,3800.0,83400.0,957300.0,1090100.0,ascent_m_0,2750.0,950.0,450.0,home
079-02,replacement,6000.0,119000.0,306000.0,449000.0,,,,3500.0,115900.0,302600.0,447500.0,ascent_m_0,2800.0,1300.0,625.0,land
080-01,initial,3000.0,73000.0,1036000.0,1181000.0,,,,5500.0,75400.0,1037000.0,1183000.0,ascent_m_0,-2200.0,1200.0,475.0,home
080-02,replacement,,121000.0,945000.0,1086000.0,,,,7900.0,160400.0,984200.0,1123700.0,ascent_m_0,-39200.0,1500.0,566.6666666666666,land
080-03,replacement,,,958000.0,1110000.0,,,"video started when drone was already over group - check how long drone was in place before video started; look like previous drone goes home at 0:22, but actually we manually piloted away from the group, then engaged Go Home.",4500.0,106800.0,1096000.0,1249400.0,ascent_m_0,-138700.0,700.0,700.0,home
081-01,initial,2000.0,140000.0,1183000.0,1298000.0,,,,6300.0,144500.0,1185800.0,1302100.0,ascent_m_0,-4200.0,1400.0,475.0,home
081-02,replacement,11000.0,76000.0,1283000.0,1398000.0,,,,5200.0,70600.0,1275800.0,1390800.0,ascent_m_0,6733.333333333333,1333.3333333333285,800.0000000000373,gimbal
081-03,replacement,5000.0,119000.0,1076000.0,1236000.0,,,,12900.0,125900.0,1081200.0,1242400.0,ascent_m_0,-6650.0,1450.0,800.0,home
082-01,initial,6000.0,73000.0,1050000.0,1204000.0,,,,3600.0,73400.0,1046800.0,1205800.0,rc_throttle_364,1000.0,2800.0,1950.0,land
082-02,replacement,,,823000.0,991000.0,,,video started when drone was already over group - check how long drone was in place before video started,6600.0,138700.0,1080300.0,1248900.0,ascent_m_0,-257600.0,300.0,300.0,home
082-03,replacement,,250000.0,1170000.0,1329000.0,,,,3300.0,257400.0,1175800.0,1334900.0,ascent_m_0,-5900.0,1500.0,533.3333333333334,gimbal
083-01,initial,,42000.0,1031000.0,1178000.0,,,,4700.0,127400.0,1114900.0,1262200.0,ascent_m_0,-84200.0,1200.0,500.0,gimbal
