observation,site,date,flight,species,group_size_spp,group_size_total,young_present,group_behavior,obs_ascent,launch_dist,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time,clip_start_ascent_adj,bushiness_100m,max_windspeed,mean_windspeed,temperature_c,wind_speed_ms,cloud_cover_%,humidity_%,group_downwind,other_spp
ob088,mpala,4/8/18,088-01,gz,18.0,18.0,True,0.0,81.40000260480001,323.6583714176088,19.85718179833168,33.263972461104004,1.153333333333333,,04:53:18,05:13:32,81.40000260480001,0.0386850916232617,3.59,2.7025,17.7,0.6,100,77,False,False
ob089,mpala,4/8/18,089-01,imp,6.0,11.0,False,0.0,70.2000022464,230.27069700845755,13.7835550912015,26.81997779602,1.0266666666666666,,05:58:50,06:20:32,65.2000022464,0.1697336680910933,7.93,7.40153846153846,18.7,0.7,100,74,False,True
ob090,mpala,4/8/18,090-01,gz,4.0,5.0,False,2.0,80.4000025728,173.27850845460148,17.612288573414812,49.967958632048,4.11,,07:16:58,07:37:48,94.4000025728,0.1618598903772825,6.33,5.103,20.5,0.9,100,66,False,True
ob091,opc,4/11/18,091-01,buf,13.0,18.0,False,2.0,74.1000023712,720.8532483417823,26.86310075497136,44.27996334108,1.8925,,06:38:55,06:59:39,96.1000023712,,2.29,2.033888888888889,20.1,1.5,83,68,False,True
ob091,opc,4/11/18,091-01,pz,5.0,18.0,True,0.0,74.1000023712,720.8532483417823,26.86310075497136,44.27996334108,1.8925,,06:38:55,06:59:39,96.1000023712,,2.29,2.033888888888889,20.1,1.5,83,68,False,True
ob092,opc,4/11/18,092-01,pz,13.0,3.0,False,3.0,85.9000027488,478.0834203521845,20.1489839411438,47.483960688524,2.708333333333333,,07:38:27,07:56:17,79.9000027488,,4.38,3.866666666666666,21.5,2,73,63,False,False
ob093,opc,4/11/18,093-01,pz,18.0,18.0,False,0.0,85.80000274560001,589.475103416749,17.651303674607455,48.95995946656,2.1711111111111108,,08:17:30,08:35:50,87.80000274560001,,3.57,2.92125,22.1,1.5,69,61,False,False
ob094,opc,4/12/18,094-01,buf,7.0,7.0,False,1.0,85.80000274560001,559.1733035478594,25.556101919292736,41.003966053244,1.419166666666667,,05:41:15,06:00:47,107.8000027456,,3.78,3.342083333333333,17.9,0.1,83,81,False,False
ob095,opc,4/12/18,095-01,pz,8.0,8.0,False,1.0,84.80000271360001,578.3816611830333,32.71547916519588,46.367961612448,1.08,,07:16:33,07:33:57,93.8000027136,,4.82,3.988095238095237,20.8,1.3,90,66,False,False
ob096,opc,4/12/18,096-01,imp,38.0,38.0,False,0.0,75.7000024224,700.8703474384522,31.78183628356894,47.843960390484,1.367222222222222,,08:52:23,09:09:29,82.7000024224,,5.06,4.14952380952381,22,1,87,66,True,False
ob097,opc,4/12/18,097-01,buf,90.0,90.0,True,3.0,120.8000038656,761.9048602748828,30.728183029513005,46.871961195192,1.5508333333333333,,12:10:02,12:28:17,129.8000038656,,6.19,5.472857142857143,23.1,1.8,90,59,False,False
ob098,opc,4/12/18,098-01,buf,150.0,150.0,True,2.0,120.2000038464,1164.5843703522555,32.446021489925435,48.167960122248,2.305,,12:35:02,12:56:18,125.2000038464,,4.55,2.4307692307692306,22.6,2.4,95,60,False,False
